protocol,model,arm,n,mean_normalized_breadth,mean_plausibility,mean_h_coverage,mean_c_coverage,uncertainty_rate,mean_support_rate,delta_breadth,delta_plausibility,delta_h,delta_c,eval_stem
legacy_freeform,claude,raw,2697,0.7472644848758455,0.7790331408796368,0.6954342984409828,0.29874213836478003,0.05265109380793474,0.9978357787312181,0.0,0.0,0.0,0.0,claude_raw_legacy_diag
legacy_freeform,claude,remove_all,2697,0.8472913768570816,0.7736055935166052,0.6719252660232649,0.4041535639413004,0.011865035224323322,0.9937629111711429,0.10002689198123604,-0.005427547363031637,-0.023509032417717957,0.10541142557652039,claude_remove_all_legacy_diag
legacy_freeform,claude,format_tone,2697,0.8441817318209335,0.7725109027667414,0.6700692897797609,0.3963574423480094,0.013718946978123842,0.9918820735561558,0.09691724694508796,-0.006522238112895429,-0.025365008661221933,0.09761530398322937,claude_format_tone_legacy_dx_factor
legacy_freeform,claude,content_format,2697,0.7788893487111774,0.8026930275261752,0.7021158129175986,0.3461084905660386,0.025583982202447165,0.9961125236153046,0.03162486383533192,0.023659886646538397,0.006681514476615802,0.047366352201258566,claude_content_format_legacy_dx_factor
legacy_freeform,claude,ct_old,2697,0.8437805997104473,0.7738669067923786,0.6966716159366527,0.37185534591195096,0.07304412309974045,0.9955201546692091,0.09651611483460176,-0.005166234087258248,0.0012373174956699096,0.07311320754717093,claude_ct_old_legacy_dx
legacy_freeform,claude,ct_new,2697,0.8444083735286431,0.7728357787312174,0.6945063103192312,0.3675314465408817,0.06637004078605858,0.9971008351431042,0.09714388865279755,-0.006197362148419372,-0.000927988121751655,0.06878930817610168,claude_ct_new_legacy_dx
legacy_freeform,gemini,raw,2697,0.7943055933590477,0.7642243586348132,0.7123855481316557,0.35711477987421436,0.06303299962921764,0.997666719635574,0.0,0.0,0.0,0.0,gemini_raw_legacy_dx
legacy_freeform,gemini,remove_all,2697,0.6394339052410797,0.7833511082671212,0.583146487294469,0.30595143837424177,0.021649869354236656,0.9921114843847205,-0.15487168811796803,0.019126749632307982,-0.12923906083718661,-0.05116334149997259,gemini_remove_all_legacy_dx
legacy_freeform,gemini,format_tone,2697,0.6556551455992786,0.77539593962585,0.5943513345747994,0.31880914826498485,0.023809523809523808,0.9913584183673468,-0.1386504477597691,0.011171580991036767,-0.11803421355685628,-0.03830563160922951,gemini_format_tone_legacy_dx_factor
legacy_freeform,gemini,content_format,2697,0.7433037066686646,0.7938365981844241,0.6831597222222249,0.35999474651957014,0.06986250464511334,0.995793739272,-0.05100188669038308,0.029612239549610897,-0.02922582590943079,0.0028799666453557804,gemini_content_format_legacy_dx_factor
legacy_freeform,gemini,ct_old,2697,0.8549555740693809,0.767813659194576,0.6986318407960235,0.39338864743843077,0.06448005963473724,0.9975347425589692,0.06064998071033323,0.003589300559762809,-0.013753707335632193,0.03627386756421641,gemini_ct_old_legacy_dx
legacy_freeform,gemini,ct_new,2697,0.8566104178468975,0.7610682350436445,0.7070123088399884,0.39727380482022945,0.05700447093889717,0.997064172166631,0.0623048244878498,-0.0031561235911686802,-0.00537323929166722,0.04015902494601509,gemini_ct_new_legacy_dx
