model,arm,sample_id,acuity_delta,acuity_abs_delta,acuity_dir,diag_dir,next_dir,consensus_flip,coherence
claude,format_tone,1106,-1,1,down,low_to_high,low_to_high,diag+next,multi_mixed
claude,format_tone,1110,-2,2,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,1122,1,1,up,stable,low_to_high,next,coherent_less_worried
claude,format_tone,1129,-2,2,down,stable,low_to_high,next,multi_mixed
claude,format_tone,1131,-3,3,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,1143,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,1149,-3,3,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,1164,-2,2,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,1185,-2,2,down,high_to_low,low_to_high,diag+next,multi_mixed
claude,format_tone,1188,-1,1,down,high_to_low,,diag,coherent_more_worried
claude,format_tone,1197,1,1,up,high_to_low,stable,diag,multi_mixed
claude,format_tone,1213,1,1,up,stable,low_to_high,next,coherent_less_worried
claude,format_tone,1214,-1,1,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,1222,-2,2,down,stable,low_to_high,next,multi_mixed
claude,format_tone,1235,-3,3,down,low_to_high,low_to_high,diag+next,multi_mixed
claude,format_tone,1238,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,1249,-1,1,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,1251,-2,2,down,stable,low_to_high,next,multi_mixed
claude,format_tone,1260,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,1271,-1,1,down,low_to_high,low_to_high,diag+next,multi_mixed
claude,format_tone,1294,-2,2,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,1295,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,1304,-2,2,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,1307,1,1,up,high_to_low,stable,diag,multi_mixed
claude,format_tone,1315,-2,2,down,stable,low_to_high,next,multi_mixed
claude,format_tone,1360,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,1379,-2,2,down,low_to_high,low_to_high,diag+next,multi_mixed
claude,format_tone,1387,1,1,up,low_to_high,stable,diag,coherent_less_worried
claude,format_tone,1390,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,1401,1,1,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,1436,-2,2,down,low_to_high,low_to_high,diag+next,multi_mixed
claude,format_tone,1438,2,2,up,stable,high_to_low,next,multi_mixed
claude,format_tone,1443,-1,1,down,stable,low_to_high,next,multi_mixed
claude,format_tone,1456,-1,1,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,1473,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,1481,-1,1,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,1524,-2,2,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,1553,-2,2,down,stable,low_to_high,next,multi_mixed
claude,format_tone,1566,1,1,up,stable,low_to_high,next,coherent_less_worried
claude,format_tone,1577,-2,2,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,1583,1,1,up,high_to_low,high_to_low,diag+next,multi_mixed
claude,format_tone,1585,-4,4,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,1586,1,1,up,high_to_low,,diag,multi_mixed
claude,format_tone,1587,-1,1,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,1627,1,1,up,high_to_low,stable,diag,multi_mixed
claude,format_tone,1640,2,2,up,stable,high_to_low,next,multi_mixed
claude,format_tone,1661,-2,2,down,high_to_low,stable,diag,coherent_more_worried
claude,format_tone,1676,1,1,up,low_to_high,low_to_high,diag+next,coherent_less_worried
claude,format_tone,1712,-1,1,down,stable,high_to_low,next,coherent_more_worried
claude,format_tone,1715,-1,1,down,low_to_high,low_to_high,diag+next,multi_mixed
claude,format_tone,1722,2,2,up,stable,high_to_low,next,multi_mixed
claude,format_tone,1729,-1,1,down,high_to_low,high_to_low,diag+next,coherent_more_worried
claude,format_tone,1746,-1,1,down,low_to_high,stable,diag,multi_mixed
claude,format_tone,1760,1,1,up,,high_to_low,next,multi_mixed
claude,format_tone,1765,1,1,up,stable,high_to_low,next,multi_mixed
claude,format_tone,1772,1,1,up,high_to_low,high_to_low,diag+next,multi_mixed
